Destination_state,Origin_state,Total migrants employment
State - UTTARAKHAND (05),Mizoram,38
State - UTTARAKHAND (05),Tripura,77
State - UTTARAKHAND (05),Meghalaya,108
State - UTTARAKHAND (05),Assam,"1,325"
State - UTTARAKHAND (05),West Bengal,"6,803"
State - UTTARAKHAND (05),Jharkhand,"5,033"
State - UTTARAKHAND (05),Odisha,"1,236"
State - UTTARAKHAND (05),Chhattisgarh,988
State - UTTARAKHAND (05),Madhya Pradesh,"2,930"
State - UTTARAKHAND (05),Gujarat,"1,078"
State - UTTARAKHAND (05),Daman & Diu,26
State - UTTARAKHAND (05),Dadra & Nagar Haveli,11
State - UTTARAKHAND (05),Maharashtra,"2,287"
State - UTTARAKHAND (05),Andhra Pradesh,751
State - UTTARAKHAND (05),Karnataka,499
State - UTTARAKHAND (05),Goa,50
State - UTTARAKHAND (05),Lakshadweep,4
State - UTTARAKHAND (05),Kerala,662
State - UTTARAKHAND (05),Tamil Nadu,502
State - UTTARAKHAND (05),Puducherry,20
State - UTTARAKHAND (05),Andaman & Nicobar Islands,21
State - UTTARAKHAND (05),Last residence outside India,"26,768"
State - UTTARAKHAND (05),Countries in Asia beyond India,"25,933"
State - UTTARAKHAND (05),Other Countries,835
State - UTTARAKHAND (05),Unclassifiable,295
State - HARYANA (06),Total,"1,333,644"
State - HARYANA (06),Last residence within India,"1,310,022"
State - HARYANA (06),Within the state of enumeration but outside the place of enumeration,"526,686"
State - HARYANA (06),Elsewhere in the district of enumeration,"272,601"
State - HARYANA (06),In other districts of the state of enumeration,"254,085"
State - HARYANA (06),States in India beyond the state of enumeration,"783,336"
State - HARYANA (06),Jammu & Kashmir,"2,795"
State - HARYANA (06),Himachal Pradesh,"11,014"
State - HARYANA (06),Punjab,"61,627"
State - HARYANA (06),Chandigarh,"9,563"
State - HARYANA (06),Uttarakhand,"20,955"
State - HARYANA (06),Haryana,0
State - HARYANA (06),NCT of Delhi,"62,027"
State - HARYANA (06),Rajasthan,"64,896"
State - HARYANA (06),Uttar Pradesh,"301,561"
State - HARYANA (06),Bihar,"157,343"
State - HARYANA (06),Sikkim,105
State - HARYANA (06),Arunachal Pradesh,77
State - HARYANA (06),Nagaland,81
State - HARYANA (06),Manipur,186
State - HARYANA (06),Mizoram,18
State - HARYANA (06),Tripura,127
State - HARYANA (06),Meghalaya,98
State - HARYANA (06),Assam,"3,272"
State - HARYANA (06),West Bengal,"28,953"
State - HARYANA (06),Jharkhand,"8,190"
State - HARYANA (06),Odisha,"6,176"
State - HARYANA (06),Chhattisgarh,"5,483"
State - HARYANA (06),Madhya Pradesh,"18,753"
State - HARYANA (06),Gujarat,"2,557"
State - HARYANA (06),Daman & Diu,14
State - HARYANA (06),Dadra & Nagar Haveli,5
State - HARYANA (06),Maharashtra,"7,093"
State - HARYANA (06),Andhra Pradesh,"2,424"
State - HARYANA (06),Karnataka,"2,469"
State - HARYANA (06),Goa,132
State - HARYANA (06),Lakshadweep,7
State - HARYANA (06),Kerala,"2,840"
State - HARYANA (06),Tamil Nadu,"2,429"
State - HARYANA (06),Puducherry,36
State - HARYANA (06),Andaman & Nicobar Islands,30
State - HARYANA (06),Last residence outside India,"23,369"
State - HARYANA (06),Countries in Asia beyond India,"21,011"
State - HARYANA (06),Other Countries,"2,358"
State - HARYANA (06),Unclassifiable,253
State - NCT OF DELHI (07),Total,"2,029,489"
State - NCT OF DELHI (07),Last residence within India,"1,998,700"
State - NCT OF DELHI (07),Within the state of enumeration but outside the place of enumeration,"64,690"
State - NCT OF DELHI (07),Elsewhere in the district of enumeration,"64,690"
State - NCT OF DELHI (07),In other districts of the state of enumeration,0
State - NCT OF DELHI (07),States in India beyond the state of enumeration,"1,934,010"
State - NCT OF DELHI (07),Jammu & Kashmir,"8,931"
State - NCT OF DELHI (07),Himachal Pradesh,"23,700"
State - NCT OF DELHI (07),Punjab,"52,245"
State - NCT OF DELHI (07),Chandigarh,"1,629"
State - NCT OF DELHI (07),Uttarakhand,"92,874"
State - NCT OF DELHI (07),Haryana,"132,533"
State - NCT OF DELHI (07),NCT of Delhi,0
State - NCT OF DELHI (07),Rajasthan,"86,480"
State - NCT OF DELHI (07),Uttar Pradesh,"902,393"
State - NCT OF DELHI (07),Bihar,"406,410"
State - NCT OF DELHI (07),Sikkim,324
State - NCT OF DELHI (07),Arunachal Pradesh,369
State - NCT OF DELHI (07),Nagaland,593
State - NCT OF DELHI (07),Manipur,"1,943"
State - NCT OF DELHI (07),Mizoram,167
State - NCT OF DELHI (07),Tripura,469
State - NCT OF DELHI (07),Meghalaya,688
State - NCT OF DELHI (07),Assam,"7,647"
State - NCT OF DELHI (07),West Bengal,"62,037"
State - NCT OF DELHI (07),Jharkhand,"25,121"
State - NCT OF DELHI (07),Odisha,"15,192"
State - NCT OF DELHI (07),Chhattisgarh,"4,137"
State - NCT OF DELHI (07),Madhya Pradesh,"40,416"
State - NCT OF DELHI (07),Gujarat,"5,382"
State - NCT OF DELHI (07),Daman & Diu,9
State - NCT OF DELHI (07),Dadra & Nagar Haveli,19
State - NCT OF DELHI (07),Maharashtra,"13,801"
State - NCT OF DELHI (07),Andhra Pradesh,"6,027"
State - NCT OF DELHI (07),Karnataka,"4,139"
State - NCT OF DELHI (07),Goa,291
State - NCT OF DELHI (07),Lakshadweep,37
State - NCT OF DELHI (07),Kerala,"23,341"
State - NCT OF DELHI (07),Tamil Nadu,"14,357"
State - NCT OF DELHI (07),Puducherry,140
State - NCT OF DELHI (07),Andaman & Nicobar Islands,169
State - NCT OF DELHI (07),Last residence outside India,"24,740"
State - NCT OF DELHI (07),Countries in Asia beyond India,"21,866"
State - NCT OF DELHI (07),Other Countries,"2,874"
State - NCT OF DELHI (07),Unclassifiable,"6,049"
State - RAJASTHAN (08),Total,"1,709,602"
State - RAJASTHAN (08),Last residence within India,"1,688,137"
State - RAJASTHAN (08),Within the state of enumeration but outside the place of enumeration,"1,309,317"
State - RAJASTHAN (08),Elsewhere in the district of enumeration,"711,896"
State - RAJASTHAN (08),In other districts of the state of enumeration,"597,421"
State - RAJASTHAN (08),States in India beyond the state of enumeration,"378,820"
State - RAJASTHAN (08),Jammu & Kashmir,"1,594"
State - RAJASTHAN (08),Himachal Pradesh,"1,805"
State - RAJASTHAN (08),Punjab,"32,194"
State - RAJASTHAN (08),Chandigarh,303
State - RAJASTHAN (08),Uttarakhand,"6,012"
State - RAJASTHAN (08),Haryana,"35,809"
State - RAJASTHAN (08),NCT of Delhi,"11,768"
State - RAJASTHAN (08),Rajasthan,0
State - RAJASTHAN (08),Uttar Pradesh,"107,646"
State - RAJASTHAN (08),Bihar,"48,253"
State - RAJASTHAN (08),Sikkim,78
State - RAJASTHAN (08),Arunachal Pradesh,66
State - RAJASTHAN (08),Nagaland,116
State - RAJASTHAN (08),Manipur,110
State - RAJASTHAN (08),Mizoram,203
State - RAJASTHAN (08),Tripura,102
State - RAJASTHAN (08),Meghalaya,598
State - RAJASTHAN (08),Assam,"1,945"
State - RAJASTHAN (08),West Bengal,"22,362"
State - RAJASTHAN (08),Jharkhand,"4,042"
State - RAJASTHAN (08),Odisha,"4,005"
State - RAJASTHAN (08),Chhattisgarh,"2,152"
State - RAJASTHAN (08),Madhya Pradesh,"59,038"
State - RAJASTHAN (08),Gujarat,"16,822"
State - RAJASTHAN (08),Daman & Diu,17
State - RAJASTHAN (08),Dadra & Nagar Haveli,16
State - RAJASTHAN (08),Maharashtra,"9,926"
State - RAJASTHAN (08),Andhra Pradesh,"1,704"
State - RAJASTHAN (08),Karnataka,"1,393"
State - RAJASTHAN (08),Goa,98
State - RAJASTHAN (08),Lakshadweep,18
State - RAJASTHAN (08),Kerala,"6,981"
State - RAJASTHAN (08),Tamil Nadu,"1,608"
State - RAJASTHAN (08),Puducherry,13
State - RAJASTHAN (08),Andaman & Nicobar Islands,23
State - RAJASTHAN (08),Last residence outside India,"16,058"
State - RAJASTHAN (08),Countries in Asia beyond India,"11,124"
State - RAJASTHAN (08),Other Countries,"4,934"
State - RAJASTHAN (08),Unclassifiable,"5,407"
State - UTTAR PRADESH (09),Total,"3,156,125"
State - UTTAR PRADESH (09),Last residence within India,"3,128,813"
State - UTTAR PRADESH (09),Within the state of enumeration but outside the place of enumeration,"2,602,534"
State - UTTAR PRADESH (09),Elsewhere in the district of enumeration,"1,273,131"
State - UTTAR PRADESH (09),In other districts of the state of enumeration,"1,329,403"
State - UTTAR PRADESH (09),States in India beyond the state of enumeration,"526,279"
State - UTTAR PRADESH (09),Jammu & Kashmir,"3,686"
State - UTTAR PRADESH (09),Himachal Pradesh,"3,743"
State - UTTAR PRADESH (09),Punjab,"25,815"
State - UTTAR PRADESH (09),Chandigarh,902
State - UTTAR PRADESH (09),Uttarakhand,"50,775"
State - UTTAR PRADESH (09),Haryana,"20,307"
State - UTTAR PRADESH (09),NCT of Delhi,"79,934"
State - UTTAR PRADESH (09),Rajasthan,"22,439"
State - UTTAR PRADESH (09),Uttar Pradesh,0
State - UTTAR PRADESH (09),Bihar,"160,825"
State - UTTAR PRADESH (09),Sikkim,77
State - UTTAR PRADESH (09),Arunachal Pradesh,127
State - UTTAR PRADESH (09),Nagaland,119
State - UTTAR PRADESH (09),Manipur,152
State - UTTAR PRADESH (09),Mizoram,38
State - UTTAR PRADESH (09),Tripura,131
State - UTTAR PRADESH (09),Meghalaya,189
State - UTTAR PRADESH (09),Assam,"5,259"
State - UTTAR PRADESH (09),West Bengal,"32,288"
State - UTTAR PRADESH (09),Jharkhand,"25,104"
State - UTTAR PRADESH (09),Odisha,"7,303"
State - UTTAR PRADESH (09),Chhattisgarh,"18,985"
State - UTTAR PRADESH (09),Madhya Pradesh,"41,006"
State - UTTAR PRADESH (09),Gujarat,"3,489"
State - UTTAR PRADESH (09),Daman & Diu,12
State - UTTAR PRADESH (09),Dadra & Nagar Haveli,26
State - UTTAR PRADESH (09),Maharashtra,"9,907"
State - UTTAR PRADESH (09),Andhra Pradesh,"2,896"
State - UTTAR PRADESH (09),Karnataka,"2,227"
State - UTTAR PRADESH (09),Goa,135
State - UTTAR PRADESH (09),Lakshadweep,75
State - UTTAR PRADESH (09),Kerala,"5,849"
State - UTTAR PRADESH (09),Tamil Nadu,"2,361"
State - UTTAR PRADESH (09),Puducherry,37
State - UTTAR PRADESH (09),Andaman & Nicobar Islands,61
State - UTTAR PRADESH (09),Last residence outside India,"23,849"
State - UTTAR PRADESH (09),Countries in Asia beyond India,"16,372"
State - UTTAR PRADESH (09),Other Countries,"7,477"
State - UTTAR PRADESH (09),Unclassifiable,"3,463"
State - BIHAR (10),Total,"706,557"
State - BIHAR (10),Last residence within India,"697,829"
State - BIHAR (10),Within the state of enumeration but outside the place of enumeration,"640,674"
State - BIHAR (10),Elsewhere in the district of enumeration,"376,320"
State - BIHAR (10),In other districts of the state of enumeration,"264,354"
State - BIHAR (10),States in India beyond the state of enumeration,"57,155"
State - BIHAR (10),Jammu & Kashmir,358
State - BIHAR (10),Himachal Pradesh,210
State - BIHAR (10),Punjab,"1,416"
State - BIHAR (10),Chandigarh,56
State - BIHAR (10),Uttarakhand,181
State - BIHAR (10),Haryana,662
State - BIHAR (10),NCT of Delhi,"3,575"
State - BIHAR (10),Rajasthan,"1,227"
State - BIHAR (10),Uttar Pradesh,"12,001"
State - BIHAR (10),Bihar,0
State - BIHAR (10),Sikkim,36
State - BIHAR (10),Arunachal Pradesh,59
State - BIHAR (10),Nagaland,59
State - BIHAR (10),Manipur,47
